RK,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,YEAR
1,San Antonio Spurs,82,19755,42.8,85.9,0.498,0.6,2.3,0.252,42.2,83.6,0.505,22.5,28.1,0.801,12.8,27.9,40.7,25.8,8.6,3.7,17.6,23.3,108.6,1980
2,Los Angeles Lakers,82,19880,45.2,85.5,0.529,0.2,1.2,0.2,45,84.3,0.534,18.8,24.3,0.775,12.6,30.8,43.4,28,9,6.3,19,20.7,109.5,1980
3,Cleveland Cavaliers,82,19930,43.4,91.7,0.474,0.4,2.1,0.193,43,89.5,0.481,19.4,25.1,0.772,14.9,27.1,42,24,8.7,3.9,15.6,22,106.7,1980
4,New York Knicks,82,19780,43.3,87.4,0.496,0.5,2.2,0.22,42.8,85.2,0.503,19.3,25.9,0.747,14.1,26.2,40.3,25.8,10,5.2,18.4,24.7,106.5,1980
5,Boston Celtics,82,19880,42.6,86.9,0.49,1.9,5,0.384,40.6,81.9,0.496,22.4,28.8,0.779,14.4,28.9,43.3,25.9,9.5,3.6,18.1,23.2,109.4,1980
6,Indiana Pacers,82,19855,42.1,89,0.473,1,3.6,0.28,41.1,85.3,0.481,20.3,27,0.751,16.2,26.9,43.1,24.9,10.4,6.1,17.6,22.8,105.5,1980
7,Phoenix Suns,82,19755,41.4,83.8,0.493,0.8,3.2,0.243,40.6,80.6,0.504,22.1,28.6,0.773,12.4,28.5,40.9,26.5,10.5,4,18.9,21.5,105.6,1980
8,Houston Rockets,82,19930,42.8,89.2,0.48,1.2,4.5,0.274,41.6,84.7,0.491,21.2,27.7,0.766,16.6,26.4,43,25.6,9.3,4.4,18.6,22.9,108.1,1980
9,Milwaukee Bucks,82,19805,43.6,89.3,0.488,0.6,1.8,0.323,43,87.5,0.491,19,24.9,0.764,14.7,28.3,43.1,26.9,9.2,6,17.7,22.9,106.8,1980
10,Philadelphia 76ers,82,19855,41.3,84,0.492,0.3,1.5,0.216,41,82.5,0.497,22,28.5,0.772,13.9,30.9,44.8,26.1,9.3,7.7,20,21.8,105,1980
11,Detroit Pistons,82,19780,41.3,86,0.48,0.6,2.5,0.26,40.6,83.6,0.486,18,24.3,0.74,13.9,27.4,41.2,22.1,8.9,6.4,19.7,23.4,101.2,1980
12,Seattle SuperSonics,82,19830,42.3,89.9,0.47,0.7,2.2,0.312,41.5,87.7,0.474,20.6,26.8,0.768,16.4,30.3,46.7,24.3,8.9,5.1,17.8,22.2,105.8,1980
13,New Jersey Nets,82,19805,39.5,85.7,0.461,1,3.4,0.285,38.5,82.3,0.468,21.5,27.5,0.782,14,29,43,23.9,9.9,6.6,19.4,24.9,101.5,1980
14,Denver Nuggets,82,19830,40.3,87,0.463,1,3,0.325,39.4,84,0.468,21.8,29.6,0.737,15.3,29.4,44.7,24.2,8.7,4.7,17.9,22.3,103.4,1980
15,Kansas City Kings,82,19805,42.1,87.9,0.478,0.3,1.3,0.219,41.8,86.6,0.482,19.6,26.4,0.743,13.9,28.5,42.5,24.9,10.1,4.2,16.9,25.1,104,1980
16,San Diego Clippers,82,19755,42.2,89.8,0.47,2.1,6.5,0.326,40.1,83.3,0.482,19.1,26,0.736,15.5,27.7,43.2,20.2,8,3.5,17.3,22.7,105.7,1980
17,Chicago Bulls,82,19905,39.8,82.2,0.484,0.8,3.3,0.255,39,78.9,0.494,23.9,30.7,0.779,13.2,29.2,42.4,25.5,8.3,4.6,19.9,25.4,104.3,1980
18,Washington Bullets,82,19880,42,91.7,0.458,0.9,2.8,0.307,41.2,88.9,0.463,18.3,24.1,0.758,15.7,32,47.7,25.9,6.2,5.2,16.2,22.3,103.2,1980
19,Atlanta Hawks,82,19780,40,86.2,0.464,0.2,0.9,0.173,39.9,85.3,0.467,25,32.5,0.771,16.8,29.5,46.3,23.5,9.6,6.6,18.3,28.1,105.2,1980
20,Golden State Warriors,82,19880,42.4,87.9,0.482,0.3,1.5,0.223,42,86.4,0.486,17,23,0.738,13.9,29.3,43.1,24.4,9.4,4.1,17.9,25,102,1980
21,Portland Trail Blazers,82,19780,42,88.2,0.476,0.3,1.6,0.197,41.6,86.6,0.481,19.2,25.9,0.743,15.9,29.6,45.6,23.4,8.7,5.8,19.1,24.1,103.4,1980
22,Utah Jazz,82,19805,42,84.7,0.496,0.7,2.3,0.319,41.3,82.4,0.501,19.5,24.1,0.809,12,29.3,41.3,24.9,8.1,4.5,19.2,24.9,104.2,1980
1,Denver Nuggets,82,19955,41.5,87.2,0.475,0.3,1.6,0.207,41.1,85.6,0.48,26.2,33.4,0.783,14.5,27.4,41.9,22.2,7.9,4.2,15.8,23.1,109.4,1981
2,Milwaukee Bucks,82,19755,43.6,87.6,0.498,0.4,1.5,0.229,43.3,86.1,0.503,21.1,27.4,0.77,14.8,28.2,43,27.2,10.1,6.2,18.5,25.8,108.7,1981
3,San Antonio Spurs,82,19805,42.1,85.7,0.491,0.2,1,0.176,41.9,84.7,0.495,24.2,31.4,0.769,15.4,30.4,45.8,24.1,8.1,7.6,18.1,24.9,108.5,1981
4,Philadelphia 76ers,82,19855,42.5,82.7,0.514,0.2,1,0.226,42.3,81.7,0.518,21.8,28.4,0.768,12.8,30.6,43.4,27.7,10,6.9,19.9,24.1,107,1981
5,Los Angeles Lakers,82,19805,44.6,87.1,0.512,0.2,1.1,0.181,44.4,86,0.516,18.2,24.9,0.729,13.7,29.4,43.1,27.9,9.5,6.5,18.4,23.1,107.6,1981
6,Portland Trail Blazers,82,19855,43.9,88.4,0.496,0.3,1.7,0.169,43.6,86.7,0.503,18.5,25.7,0.718,14.6,28,42.6,26.3,9,5.6,17.8,23.9,106.5,1981
7,Phoenix Suns,82,19755,41.6,85,0.49,0.4,1.9,0.217,41.2,83.1,0.496,21,28.2,0.745,14.3,28.9,43.2,25.6,10.2,4.8,20.1,23.2,104.6,1981
8,Boston Celtics,82,19780,43.1,85.5,0.504,0.8,2.9,0.27,42.3,82.6,0.513,21.4,28.5,0.752,13.9,29.2,43.1,26.5,8.2,7.2,19,24,108.4,1981
9,Golden State Warriors,82,19730,42.9,87.8,0.489,0.7,2.5,0.286,42.2,85.2,0.495,22,30.3,0.727,16.9,28.5,45.4,24.4,7.4,3.6,18.6,26,108.5,1981
10,Chicago Bulls,82,19780,41.7,83.2,0.501,0.5,2.2,0.212,41.2,81.1,0.508,23.9,30.9,0.774,14.8,29.8,44.6,23.2,8.8,6.2,20.2,24.8,107.8,1981
11,Houston Rockets,82,19805,43.1,88.4,0.487,0.3,1.4,0.178,42.8,87,0.492,20.6,26.8,0.77,14.7,28.3,42.9,25.3,8.5,4.7,17.5,22.9,107,1981
12,New York Knicks,82,19830,42,86.9,0.483,0.7,2.8,0.237,41.3,84.1,0.491,21.4,28.6,0.747,13.6,26.4,40,23.7,10.3,3.8,17.5,23,106,1981
13,Indiana Pacers,82,19730,42.1,87.3,0.482,0.4,2,0.178,41.7,85.3,0.489,21.9,30.6,0.715,16,27.3,43.3,25.2,10,5.8,18,24.2,106.4,1981
14,Kansas City Kings,82,19830,42.7,85.4,0.5,0.6,2,0.292,42.1,83.4,0.505,18.8,26.3,0.714,12.4,29.3,41.6,27.1,8.6,4.6,17.3,25,104.7,1981
15,New Jersey Nets,82,19805,40,84.2,0.475,0.4,1.6,0.246,39.6,82.6,0.48,20.5,27.3,0.751,12.6,27.3,39.9,23.8,8.6,5.3,19.2,25.4,101,1981
16,San Diego Clippers,82,19730,42.2,88.4,0.477,1.6,4.9,0.324,40.6,83.4,0.486,20,27.3,0.735,14.2,26,40.2,25.5,9.3,3.5,17.1,25.2,106,1981
17,Cleveland Cavaliers,82,19780,42.8,91.5,0.467,0.9,3,0.289,41.9,88.6,0.473,17.9,23,0.778,15.1,27,42.1,24.1,7.6,3.9,16.8,24,104.3,1981
18,Washington Bullets,82,19780,42.1,89.1,0.472,0.8,2.9,0.27,41.3,86.3,0.479,17.8,24.6,0.723,13.7,30,43.7,25.5,7.6,4.6,16.9,22.5,102.7,1981
19,Atlanta Hawks,82,19930,39.9,83.2,0.479,0.1,1,0.122,39.8,82.2,0.484,24.4,31.4,0.777,14.6,26.9,41.5,22.4,9.1,5.7,19.4,27.6,104.3,1981
20,Seattle SuperSonics,82,19780,40.4,86.4,0.468,0.4,1.4,0.274,40.1,85,0.471,21.9,28.7,0.763,14.1,29.4,43.6,23.5,7.6,5.3,18.4,24,103.2,1981
21,Dallas Mavericks,82,19780,39.4,85.2,0.462,0.6,2,0.279,38.8,83.2,0.467,23,30.6,0.751,13.6,26.8,40.4,24.4,6.9,2.6,17.7,24.7,102.4,1981
22,Utah Jazz,82,19730,41.5,85,0.488,0.5,2,0.258,41,83,0.494,19.9,25.9,0.767,12,29,40.9,24.3,7.9,4.8,17.7,26.3,103.4,1981
23,Detroit Pistons,82,19755,38.8,83.9,0.463,0.2,1,0.155,38.7,82.8,0.467,20.3,28,0.725,14.4,25.3,39.8,21.8,10.6,5.9,21.1,25.5,98.1,1981
1,Denver Nuggets,82,19830,43.9,84.4,0.52,0.4,1.6,0.268,43.4,82.8,0.525,26.1,32.8,0.796,12.7,26.9,39.6,25,7.3,4.1,16.2,23.5,114.3,1982
2,Los Angeles Lakers,82,19855,45.9,88.9,0.517,0.2,1.1,0.138,45.8,87.8,0.521,18.2,25.3,0.717,14.7,29.4,44.1,27.6,9.9,6.1,17.2,23.4,110.2,1982
3,San Antonio Spurs,82,19755,43.8,90.2,0.486,0.8,3,0.254,43.1,87.2,0.494,21.5,27.7,0.776,14.8,30.1,44.9,26.7,7.1,6.6,15.3,26.3,109.9,1982
4,Boston Celtics,82,19780,43.7,87.7,0.499,0.6,2.2,0.266,43.1,85.5,0.505,21.7,29.4,0.74,15,29.8,44.7,25.4,7.8,6.8,17.4,24.1,109.8,1982
5,Philadelphia 76ers,82,19855,43.5,83.8,0.518,0.5,1.7,0.295,43,82.1,0.523,22.2,29.7,0.747,12.4,28.7,41.1,27.2,10.3,7.5,17.7,26.2,109.6,1982
6,Detroit Pistons,82,19830,41.3,85.8,0.482,0.6,2.5,0.244,40.7,83.3,0.489,22.5,30,0.751,15.1,27.2,42.3,23.5,8.6,6.5,18.9,25.1,105.8,1982
7,Utah Jazz,82,19780,43,87,0.494,0.3,1.1,0.227,42.7,85.9,0.498,20,26.7,0.751,13.4,27.6,41,22.1,8.2,4.2,16.8,25.7,106.2,1982
8,Golden State Warriors,82,19780,43.6,87.9,0.496,1.1,3.9,0.28,42.5,84,0.506,20.4,28.5,0.717,15.3,29.3,44.7,21.8,8.2,4.7,17,26.6,108.8,1982
9,Portland Trail Blazers,82,19780,43.8,86.8,0.505,0.4,1.7,0.207,43.5,85.1,0.511,20.8,28.8,0.72,13.8,28.4,42.2,24.8,8.5,4.4,16.8,24.3,108.8,1982
10,San Diego Clippers,82,19755,42.6,85.1,0.5,1.2,4,0.293,41.4,81,0.511,20.3,28,0.723,13.6,26.3,39.9,22.5,7.6,3.6,18.8,28.2,106.6,1982
11,Milwaukee Bucks,82,19805,42.9,85,0.505,0.6,2,0.299,42.4,83,0.51,21.2,28.2,0.753,14.1,29.3,43.4,27.1,9.2,5.5,19.3,27.6,107.7,1982
12,Seattle SuperSonics,82,19830,42.4,86.9,0.488,0.5,1.9,0.248,42,85,0.494,21.1,28.6,0.74,13.3,30.8,44.1,25.4,8.4,5.6,16.3,24.9,106.4,1982
13,Kansas City Kings,82,19880,42.7,86.4,0.495,0.3,1.5,0.2,42.4,84.8,0.5,18.4,25.6,0.719,12.9,27,39.9,24.4,8.8,4.8,17.9,28,104.2,1982
14,New Jersey Nets,82,19780,41.2,85.1,0.484,0.4,1.7,0.205,40.9,83.4,0.49,20.2,27.7,0.728,14.1,27.3,41.4,24.7,10.8,5.7,19.4,27,103,1982
15,Chicago Bulls,82,19880,41.1,82,0.501,0.7,2.6,0.254,40.4,79.4,0.509,23.8,31,0.767,13.7,30.8,44.5,24.9,7.1,5.9,19.9,24.5,106.6,1982
16,New York Knicks,82,19830,42.9,87.3,0.491,0.7,2.6,0.271,42.2,84.7,0.498,19.5,26.4,0.738,14.2,27.7,41.9,25.2,8.7,4.1,18.1,26.7,106,1982
17,Phoenix Suns,82,19830,42.7,86.8,0.491,0.7,2.1,0.31,42,84.7,0.496,19.9,26.2,0.758,13.7,30.6,44.3,27,9.2,5.2,18.6,24.7,105.8,1982
18,Houston Rockets,82,19780,43.7,91.9,0.476,0.6,2.2,0.284,43.1,89.7,0.48,20.2,27.8,0.729,17.5,28.5,46,24.7,8.1,5.4,16.5,23.3,108.3,1982
19,Dallas Mavericks,82,19730,41.9,89.2,0.469,0.7,2.3,0.289,41.2,86.9,0.474,21.5,29.2,0.735,15,27.5,42.5,26.1,7,3.9,16.3,27.1,105.9,1982
20,Washington Bullets,82,19830,41.4,87.3,0.474,0.7,2.9,0.25,40.7,84.4,0.482,19.8,25.6,0.772,12.8,31.5,44.2,24.2,7.8,4.8,16.9,25.2,103.3,1982
21,Cleveland Cavaliers,82,19805,41.6,89.5,0.464,0.3,1.7,0.182,41.3,87.9,0.47,19.9,26.6,0.747,14.5,26.5,41,22.8,7.7,4.4,16.1,26.8,103.3,1982
22,Indiana Pacers,82,19830,40.8,87.8,0.465,1.3,3.9,0.326,39.6,84,0.472,19.8,26.7,0.741,14,29.1,43.1,23.3,9.2,6.1,17.1,25,102.7,1982
23,Atlanta Hawks,82,19880,40.7,86,0.474,0.4,1.6,0.219,40.4,84.4,0.479,23.3,30.3,0.768,14.4,30.1,44.5,23,7.7,6.2,17,28.8,105.1,1982
1,Denver Nuggets,82,19730,42.9,86.8,0.494,0.3,1.4,0.19,42.6,85.4,0.499,23.6,29.3,0.808,13.2,27.4,40.6,25.4,8.6,3.8,16.2,22.7,109.7,1983
2,Los Angeles Lakers,82,19730,46.4,88,0.528,0.1,1.1,0.104,46.3,86.9,0.533,17.5,23.8,0.736,14.5,28.5,43,29.5,9.9,5.6,18.6,22.6,110.5,1983
3,San Antonio Spurs,82,19780,43.4,86.2,0.504,1.1,3.6,0.305,42.3,82.6,0.512,22.2,29,0.765,14.5,30.5,45,26.5,7.9,5.5,17.7,24.6,110.1,1983
4,Kansas City Kings,82,19780,42.3,85.2,0.497,0.6,2.4,0.237,41.8,82.8,0.505,20.9,28.8,0.727,14.3,27.4,41.7,24.5,8.7,4.7,19.3,27.7,106.2,1983
5,Dallas Mavericks,82,19730,43.5,89.4,0.487,0.5,2.2,0.232,43,87.2,0.493,21.9,29.1,0.752,15.3,28.2,43.5,26.4,6.5,4.1,16,24.5,109.4,1983
6,Detroit Pistons,82,19880,41.3,86.7,0.477,0.8,3.1,0.265,40.5,83.6,0.484,21.9,29.5,0.742,15,28.3,43.2,24,7.7,6.5,17.8,24.2,105.4,1983
7,Boston Celtics,82,19830,43.2,87.8,0.492,0.5,2.2,0.21,42.7,85.6,0.499,20.1,27.3,0.737,14.8,29.5,44.3,25.8,9.2,6.1,17.9,24,106.9,1983
8,Philadelphia 76ers,82,19830,42.4,85,0.499,0.3,1.3,0.229,42.1,83.7,0.503,23.2,31.2,0.742,15.7,30.6,46.3,23.8,9.6,6.8,19.2,24.1,108.3,1983
9,Chicago Bulls,82,19905,40.2,83.8,0.48,0.5,2.4,0.215,39.7,81.4,0.487,22.5,30.6,0.737,14.4,28.7,43.1,23.7,7.6,4.5,19.8,24.9,103.4,1983
10,Seattle SuperSonics,82,19805,42.2,85.5,0.494,0.3,1.6,0.21,41.9,83.8,0.5,21.1,28.9,0.73,13.5,30.2,43.7,26.8,8,5.1,18,23.1,105.9,1983
11,Utah Jazz,82,19755,39.9,83.1,0.48,0.5,2.1,0.24,39.4,81,0.486,20.9,27.6,0.756,12.4,28.9,41.2,24.6,8.6,6.7,19.1,22.8,101.2,1983
12,Indiana Pacers,82,19830,43.2,89.9,0.48,0.6,2.7,0.212,42.6,87.2,0.488,16.9,22.2,0.758,15.1,26.7,41.8,25,8.8,4.8,17.9,24.3,103.8,1983
13,Golden State Warriors,82,19780,42.3,87.6,0.483,0.4,1.7,0.227,41.9,85.8,0.488,18.9,25.6,0.737,14.9,26.6,41.6,22.9,10,5,18.7,24.9,103.9,1983
14,San Diego Clippers,82,19830,42.6,89.7,0.475,0.8,3.1,0.244,41.9,86.7,0.483,18.7,25.8,0.724,16.4,24.8,41.2,24.5,9.6,4.8,18.8,26.9,104.7,1983
15,Portland Trail Blazers,82,19755,41.6,85.7,0.486,0.4,1.8,0.233,41.2,83.9,0.491,22.3,30.2,0.738,14.2,28.6,42.8,24.4,9,4.6,18,23.6,106,1983
16,Phoenix Suns,82,19730,42.6,85.7,0.497,0.5,1.9,0.253,42.1,83.8,0.502,19.5,26.2,0.743,13.1,30.2,43.3,27.5,9,5.9,18.5,24.7,105.1,1983
17,Milwaukee Bucks,82,19830,42.2,86.3,0.489,0.4,2,0.219,41.7,84.3,0.495,20.9,27.8,0.753,13.3,30,43.2,25.6,8,6.4,17.5,25.8,105.8,1983
18,New Jersey Nets,82,19705,41.1,83.6,0.492,0.4,1.7,0.201,40.8,81.9,0.498,19,27,0.705,14.8,28.4,43.3,25.1,10.7,6.9,21.9,25.4,101.6,1983
19,Atlanta Hawks,82,19780,41.1,87.6,0.469,0.6,2.3,0.239,40.6,85.3,0.475,19.5,25.9,0.751,14,29.8,43.8,23.9,7,8.2,17.5,24.8,102.2,1983
20,New York Knicks,82,19805,40.9,84.9,0.482,0.4,1.6,0.252,40.5,83.2,0.486,20.2,28.5,0.71,13.5,28.3,41.8,25.4,8.8,4.7,18.8,27.2,102.4,1983
21,Houston Rockets,82,19730,39.7,88.6,0.448,0.8,3.2,0.247,38.9,85.4,0.456,16.7,23,0.725,14.4,26.9,41.3,23,7.7,5,18.7,25.4,97,1983
22,Washington Bullets,82,19805,40.3,86,0.468,0.9,2.9,0.295,39.4,83.1,0.474,17.7,25.1,0.705,13.4,29.6,43,24.9,8.9,4.9,19.4,23.9,99.1,1983
23,Cleveland Cavaliers,82,19755,40.5,87.1,0.465,0.4,1.5,0.25,40.1,85.6,0.469,17.8,24.7,0.721,14.6,30.1,44.7,21.6,7.7,3.6,19.1,27.8,99.2,1983
1,Denver Nuggets,82,19805,43.2,87.6,0.493,0.8,2.8,0.302,42.3,84.8,0.499,24.1,29.5,0.818,12.4,26.8,39.2,27.2,7.8,3.9,14.7,25,111.3,1984
2,San Antonio Spurs,82,19980,44.1,87.1,0.506,0.9,3,0.3,43.2,84.1,0.514,22.2,29.4,0.755,13.9,28.5,42.4,26.6,7.7,5.5,16.3,24.2,111.2,1984
3,Detroit Pistons,82,19905,44.1,91.9,0.48,0.4,1.6,0.227,43.7,90.2,0.485,22.9,29.6,0.775,16.6,28.3,44.8,26.2,8.1,4.8,15.2,25.3,111.5,1984
4,Los Angeles Lakers,82,19780,45.1,84.8,0.532,0.7,2.6,0.257,44.4,82.2,0.54,20,26.6,0.754,12.8,29.2,42.1,28.7,8.5,5.6,18.5,24,110.9,1984
5,Utah Jazz,82,19780,41.7,83.7,0.498,1.2,3.7,0.319,40.5,80.1,0.506,24.5,31.3,0.781,12.7,29.2,41.8,25.8,8,7,17.5,22.9,109,1984
6,Portland Trail Blazers,82,19805,43.5,86.2,0.505,0.3,1.5,0.194,43.2,84.6,0.511,23.8,31.6,0.754,15,26.3,41.3,25,9.8,4.8,17.8,25.6,111.2,1984
7,Boston Celtics,82,19955,43.6,87.2,0.5,0.7,2.8,0.24,42.9,84.5,0.508,23,29,0.792,14,30.6,44.6,25.6,8.1,5.2,17.1,23.5,110.9,1984
8,Phoenix Suns,82,19780,44,86.4,0.509,0.9,3.5,0.254,43.1,82.9,0.52,20,26.4,0.759,12.8,27.5,40.2,26.5,8.3,4.6,17.4,25.7,108.9,1984
9,San Diego Clippers,82,19730,43.7,88.1,0.496,0.3,1.5,0.188,43.4,86.6,0.502,21.5,29.2,0.736,15.7,28.7,44.4,23.8,6.8,4.6,18.2,24.3,109.2,1984
10,Houston Rockets,82,19755,43.3,87.4,0.495,0.3,1.8,0.195,42.9,85.6,0.501,18.4,24.8,0.74,13.9,28.8,42.7,25.6,7.2,6,18.1,26.9,105.3,1984
11,Dallas Mavericks,82,19955,44,87.9,0.5,0.5,2.2,0.228,43.5,85.7,0.507,21.6,28.6,0.755,13.2,27.5,40.8,26.3,7,4.4,15.8,23.2,110,1984
12,Kansas City Kings,82,19755,41.5,85.4,0.486,0.6,2.2,0.275,40.9,83.1,0.492,22.9,29.5,0.777,13.5,26.8,40.4,26.3,8.4,4.5,17.8,26,106.5,1984
13,New Jersey Nets,82,19805,42.5,85.4,0.498,0.6,2.7,0.211,41.9,82.6,0.507,20.5,29.3,0.7,14.4,27.2,41.6,25.3,9.6,5.9,18.9,26.4,106.1,1984
14,Golden State Warriors,82,19830,41.2,88.3,0.467,0.6,2.6,0.243,40.6,85.6,0.474,22.4,30.2,0.743,16.3,25.4,41.7,21.5,9.7,4.1,17.8,24.7,105.5,1984
15,Seattle SuperSonics,82,19780,42.1,86.2,0.488,0.3,1.7,0.193,41.8,84.5,0.494,23.3,29.9,0.78,12.9,28.4,41.3,27.2,7.7,4.3,16.6,22.9,107.9,1984
16,Philadelphia 76ers,82,19955,40.9,82.5,0.495,0.4,1.3,0.271,40.5,81.3,0.499,24.7,32.7,0.754,14.3,28.8,43,24.5,9.7,7.9,19.7,24.6,106.8,1984
17,New York Knicks,82,19855,41.3,83.5,0.495,0.6,2,0.285,40.8,81.4,0.5,23.7,30.6,0.775,13.3,27.2,40.5,24.9,9.8,4.4,19.4,27.8,107,1984
18,Milwaukee Bucks,82,19905,42.7,86.7,0.492,0.7,2.9,0.254,42,83.8,0.501,21.7,29.3,0.74,14.1,29.7,43.8,26.3,8,6.1,17.6,27,107.8,1984
19,Indiana Pacers,82,19780,41,84.7,0.483,0.6,2.5,0.232,40.4,82.2,0.491,19.3,25.2,0.766,11.9,28.5,40.4,25.8,9.9,4.7,18.1,24.5,101.8,1984
20,Chicago Bulls,82,19980,39.8,84,0.474,0.2,1.4,0.171,39.6,82.5,0.479,22.5,30.2,0.746,13.7,27.7,41.4,25.2,8.3,5.5,19,26.4,102.4,1984
21,Washington Bullets,82,19905,41.4,85.5,0.484,0.9,3.5,0.252,40.5,82,0.494,20.6,27.2,0.756,12.7,29.5,42.2,27.1,6.9,4,17.9,24.6,104.2,1984
22,Cleveland Cavaliers,82,19855,41.7,89.8,0.465,0.5,2,0.262,41.2,87.8,0.47,20.1,27,0.743,15.1,29.7,44.7,24,7.8,4.7,16.5,27.4,104.1,1984
23,Atlanta Hawks,82,19855,41,86.3,0.474,0.3,1.3,0.217,40.7,85,0.478,23.3,30.6,0.761,14.1,28.3,42.4,23.2,7.9,7.1,16.9,26.5,105.5,1984
1,Denver Nuggets,82,19830,43.6,89.7,0.486,0.8,2.6,0.311,42.8,87,0.491,22.7,28.9,0.785,15,25.9,40.9,25.5,10.1,4.8,15.5,24.2,110.7,1985
2,Los Angeles Lakers,82,19755,46.5,85.4,0.545,1.1,3.5,0.305,45.5,81.9,0.555,20,26.3,0.763,12.5,30,42.5,30.3,8.2,5.7,18.1,22.7,114.1,1985
3,Detroit Pistons,82,19830,44.3,92.2,0.48,0.5,2.3,0.226,43.7,89.9,0.487,20.6,26.1,0.788,16.2,29.2,45.4,26.5,8,4.6,15.5,23.9,109.6,1985
4,Portland Trail Blazers,82,19880,43.2,86,0.503,0.6,2.4,0.252,42.6,83.6,0.51,23.3,31.1,0.751,14,26.8,40.8,25.9,9.6,6,17.3,22.8,110.4,1985
5,Kansas City Kings,82,19755,42.6,84.6,0.504,0.7,2.8,0.265,41.9,81.9,0.512,23.5,30.2,0.779,13.6,27.1,40.7,27.2,7.7,3.5,18.5,25.2,109.5,1985
6,Boston Celtics,82,19705,44.6,87.8,0.508,1.3,3.7,0.356,43.3,84.1,0.515,22.3,27.7,0.806,13.4,31.5,44.9,27.4,7.7,5,16,21.4,112.8,1985
7,San Antonio Spurs,82,19780,43.2,84.1,0.513,0.6,2.4,0.272,42.5,81.7,0.52,22.9,30,0.763,13.2,28.8,42,27,8.8,5.2,18,25.4,109.9,1985
8,Philadelphia 76ers,82,19805,41.4,84,0.492,0.7,2.7,0.263,40.7,81.3,0.5,27.8,34.7,0.803,15.6,28.4,44,24,9.8,6.4,18.9,23.7,111.3,1985
9,Houston Rockets,82,19830,44.4,88.1,0.504,0.5,2.2,0.22,43.9,85.9,0.511,18.7,26.8,0.699,15.7,28.4,44,26.5,8.1,7.1,19,24.1,107.9,1985
10,Dallas Mavericks,82,19855,43.5,89,0.489,1.9,5.4,0.343,41.7,83.6,0.498,22.6,28.4,0.793,13.4,28.7,42.1,26.3,7,4.1,14.5,22,111.5,1985
11,Milwaukee Bucks,82,19805,43.3,88.2,0.491,1.1,3.6,0.303,42.2,84.6,0.499,22.8,30.1,0.757,15.3,28.6,43.9,26.3,8.4,5.9,16.8,27.2,110.5,1985
12,Golden State Warriors,82,19855,41,88.5,0.463,1.3,4.6,0.282,39.6,83.8,0.473,22.8,29.6,0.768,15.5,25,40.6,20.6,9.4,3.3,17.1,25,106,1985
13,New Jersey Nets,82,19755,43.8,89.5,0.49,0.6,2.7,0.232,43.2,86.8,0.498,19.6,26.9,0.729,14.8,28,42.8,26,9.3,5,16.3,24.2,107.9,1985
14,Utah Jazz,82,19755,40.2,84.4,0.476,1.2,3.5,0.336,39,80.8,0.482,21.7,28.1,0.772,12.5,29.5,42,24.8,8.2,8.1,18.2,22.7,103.3,1985
15,Chicago Bulls,82,19805,42.1,84.3,0.5,0.4,2,0.18,41.8,82.3,0.507,24.2,30.8,0.784,13.1,28.9,41.9,24.3,7.6,5.7,17.8,25.3,108.7,1985
16,Cleveland Cavaliers,82,19780,41.3,87.7,0.471,1.1,4,0.287,40.2,83.7,0.48,22.2,29.7,0.749,14.3,29.1,43.4,25,7.4,5.6,16.5,25.9,106,1985
17,Indiana Pacers,82,19780,40.3,84.6,0.476,0.3,1.8,0.194,39.9,82.8,0.482,21.6,29.1,0.744,13.8,30.3,44.1,22.5,7.2,4.2,18.7,25.8,102.5,1985
18,Phoenix Suns,82,19805,41.5,84.5,0.491,1,3.6,0.283,40.4,80.8,0.5,20.8,27,0.771,12.1,28.7,40.8,27.6,8.6,4.1,18.7,24,104.7,1985
19,Los Angeles Clippers,82,19730,42.5,85.8,0.495,0.7,2.3,0.298,41.8,83.5,0.501,20.2,26.6,0.758,14,29.3,43.3,23.3,6.4,6,19.1,22.2,105.8,1985
20,Atlanta Hawks,82,19855,41.7,86.2,0.484,0.9,2.8,0.311,40.8,83.4,0.49,21.6,28.7,0.752,14.1,28.4,42.5,24.3,8.1,6.6,17.9,24.8,105.9,1985
21,Washington Bullets,82,19855,42.6,89,0.479,1.3,4.8,0.274,41.3,84.2,0.49,17.8,24,0.743,12.2,28.9,41.1,25.2,8.5,4.7,15.5,22.5,104.3,1985
22,New York Knicks,82,19830,41.8,86.4,0.484,0.6,2.4,0.258,41.2,84,0.49,20.8,28.6,0.726,13.6,25.6,39.1,24.3,9.2,3.2,17.7,29.2,104.9,1985
23,Seattle SuperSonics,82,19705,40.2,84.8,0.474,0.6,2.3,0.243,39.7,82.5,0.481,21.8,28.3,0.771,12.5,28.1,40.6,26.8,8,4.2,18.3,24.2,102.8,1985
1,Los Angeles Lakers,82,19830,45.2,86.5,0.522,1.6,4.8,0.337,43.5,81.7,0.533,21.3,27.4,0.778,13,30.1,43.1,28.7,8.2,4.9,17.3,23.9,113.3,1986
2,Dallas Mavericks,82,19805,43.1,86,0.501,1.7,5.3,0.316,41.4,80.7,0.513,24.3,31.3,0.776,12.6,29.1,41.7,25,7.2,4.4,15.3,20.6,112.1,1986
